block,word,weight,count,rank,also_in
reconsideration,interpretations,6.99994,16,109,
reconsideration,chateaubriand,6.96557,13,110,
reconsideration,online,6.95911,15,111,
reconsideration,vein,6.90981,14,112,
reconsideration,hints,6.69523,12,113,
reconsideration,rollins,6.44972,13,114,
reconsideration,magnet,6.22115,23,115,
reconsideration,checking,6.17511,11,116,
reconsideration,aids,6.07344,33,117,
reconsideration,paris,6.05323,45,118,
reconsideration,premises,5.99744,25,119,
reconsideration,plumbing,5.91217,20,120,
hedge,maybe,284.03956,57767,1,dismissal
hedge,hard,206.31207,27354,2,dismissal
hedge,just,137.2252,19533,3,dismissal
hedge,tell,117.47574,8798,4,dismissal
hedge,possibly,110.76676,8474,5,
hedge,subjective,108.88409,10056,6,dismissal;perspective
hedge,similar,99.91991,8687,7,verdict
hedge,bet,98.8261,6849,8,verdict
hedge,school,85.09078,24057,9,
hedge,branch,76.54131,4980,10,
hedge,likely,76.09212,4495,11,
hedge,missing,75.91055,4490,12,dismissal;reconsideration
hedge,judge,74.12532,4797,13,dismissal
hedge,probably,71.10022,3929,14,verdict
hedge,trick,70.54688,3605,15,dismissal
hedge,slightly,63.54096,8949,16,verdict;weighing
hedge,different,58.84724,4315,17,dismissal
hedge,clearly,58.40842,12338,18,dismissal;verdict
hedge,honestly,57.9776,2266,19,dismissal
hedge,assume,49.42882,2177,20,dismissal;reconsideration
hedge,aren,46.25543,2142,21,dismissal
hedge,small,46.09466,13440,22,
hedge,isn,45.71892,3529,23,dismissal;verdict
hedge,specific,45.01846,4596,24,dismissal;reconsideration
hedge,community,43.6077,2051,25,
hedge,potentially,43.37186,2672,26,
hedge,necessarily,42.92047,1396,27,dismissal
hedge,unless,42.3965,1946,28,dismissal;weighing
hedge,forced,42.39176,1116,29,weighing
hedge,seen,41.46275,2190,30,weighing
hedge,harder,41.01858,1664,31,
hedge,definitively,38.28503,1046,32,dismissal
hedge,blurry,35.92417,868,33,
hedge,private,35.79284,2405,34,
hedge,guess,35.63159,809,35,verdict
hedge,insists,35.23392,759,36,
hedge,depending,34.66518,723,37,
hedge,subtle,34.63659,838,38,reconsideration
hedge,strong,33.64391,1608,39,weighing
hedge,safest,33.55916,1086,40,verdict
hedge,identify,33.48257,1276,41,verdict
hedge,given,33.3081,1381,42,weighing
hedge,minor,33.13309,1859,43,
hedge,suggest,32.97468,847,44,
hedge,true,31.78531,868,45,
hedge,referring,31.58243,708,46,dismissal
hedge,uncertainty,31.45271,813,47,
hedge,info,30.87406,901,48,dismissal
hedge,considers,30.1825,580,49,dismissal
hedge,seeing,30.12582,585,50,
hedge,hidden,29.97513,1604,51,reconsideration
hedge,mean,29.75441,1140,52,dismissal;weighing
hedge,tricky,29.3069,616,53,
hedge,regardless,28.77333,664,54,dismissal
hedge,possible,28.28871,858,55,dismissal;reconsideration
hedge,pretty,28.03554,1357,56,
hedge,way,27.64768,1955,57,dismissal
hedge,slight,27.59735,809,58,
hedge,tiny,27.41421,1039,59,dismissal
hedge,like,27.23501,31362,60,
hedge,unsafe,26.24537,855,61,
hedge,center,26.20299,2159,62,
hedge,mistake,25.99973,458,63,dismissal
hedge,meant,25.93641,536,64,dismissal
hedge,shown,25.3809,1019,65,dismissal
hedge,testing,25.15355,406,66,dismissal
hedge,particularly,25.09539,1218,67,
hedge,indicate,24.79881,607,68,
hedge,shots,24.75388,1273,69,dismissal;verdict
hedge,queens,24.75135,682,70,
hedge,inside,24.66048,1235,71,
hedge,toss,23.86803,356,72,
hedge,bad,23.7654,523,73,
hedge,brooklyn,22.53364,732,74,
hedge,imply,22.50939,661,75,
hedge,judging,22.01531,465,76,
hedge,concern,21.91722,321,77,
hedge,intended,21.91483,520,78,
hedge,immediately,21.65568,703,79,
hedge,explicitly,21.52025,425,80,
hedge,blind,21.01258,503,81,
hedge,trust,20.94611,293,82,dismissal
hedge,argue,20.83385,372,83,weighing
hedge,type,20.68369,950,84,
hedge,poorly,20.32244,837,85,
hedge,tough,19.72205,251,86,
hedge,night,19.4377,362,87,
hedge,uncertain,18.95231,212,88,
hedge,renovated,18.94933,758,89,
hedge,cafe,18.91113,2796,90,
hedge,misidentified,18.90703,216,91,
hedge,ability,18.86605,239,92,
hedge,manhattan,18.80064,551,93,
hedge,truly,18.65491,249,94,
hedge,charter,18.54402,374,95,
hedge,specialized,18.20808,485,96,
hedge,obviously,18.1689,486,97,
hedge,angle,18.11442,540,98,
hedge,schwarzman,17.8516,183,99,
hedge,stephen,17.60608,178,100,
hedge,alternatively,17.55946,248,101,weighing
hedge,assuming,17.47712,244,102,
hedge,ongoing,17.28864,341,103,
hedge,technically,17.26167,209,104,
hedge,ambiguity,17.09658,196,105,
hedge,hazard,16.97598,702,106,
hedge,know,16.94612,289,107,
